geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
Unincorporated - Acton,2022,25367.0,25498,155,1945,2203,7971.0
Unincorporated - Agua Dulce,1116,26840.0,28087,70,1684,1968,4158.0
Unincorporated - Altadena,16518,37868.0,38252,1183,2712,2814,43620.0
Unincorporated - Anaverde,362,24005.0,25527,60,3979,4041,1508.0
Unincorporated - Angeles National Forest,166,13333.0,12474,8,643,598,1245.0
Unincorporated - Arcadia,2368,29670.0,29931,191,2393,2461,7981.0
Unincorporated - Athens Village,2425,49520.0,49872,427,8720,8855,4897.0
Unincorporated - Athens-Westmont,15553,36645.0,36767,2556,6022,6077,42442.0
Unincorporated - Avocado Heights,2231,32930.0,32346,443,6539,6417,6775.0
Unincorporated - Azusa,5112,32105.0,31423,940,5903,5731,15923.0
Unincorporated - Bassett,5278,35621.0,34936,1041,7026,6923,14817.0
Unincorporated - Bouquet Canyon,227,21156.0,21474,12,1118,1135,1073.0
Unincorporated - Bradbury,128,118519.0,8913,6,5556,336,108.0
Unincorporated - Canyon Country,2983,38600.0,41443,297,3843,4088,7728.0
Unincorporated - Castaic,6626,24368.0,24332,612,2251,2284,27191.0
Unincorporated - Cerritos,200,34072.0,34655,32,5451,5329,587.0
Unincorporated - Claremont,221,31481.0,34513,26,3704,4751,702.0
Unincorporated - Covina,5572,33129.0,32500,830,4935,4823,16819.0
Unincorporated - Covina (Charter Oak),4068,30949.0,29996,571,4344,4371,13144.0
Unincorporated - Del Aire,1491,33940.0,33130,121,2754,2739,4393.0
Unincorporated - Del Rey,260,81761.0,123458,11,3459,4515,318.0
Unincorporated - Del Sur,526,21781.0,23796,51,2112,2187,2415.0
Unincorporated - Desert View Highlands,807,32371.0,32742,139,5576,5537,2493.0
Unincorporated - Duarte,1747,39453.0,39253,373,8424,8206,4428.0
Unincorporated - East Covina,112,34043.0,46001,12,3647,6872,329.0
Unincorporated - East La Mirada,1545,29195.0,28910,204,3855,3824,5292.0
Unincorporated - East Lancaster,34,29825.0,31804,3,2632,3349,114.0
Unincorporated - East Los Angeles,54586,43575.0,43496,11089,8852,8817,125269.0
Unincorporated - East Pasadena,1525,23817.0,23652,73,1140,1122,6403.0
Unincorporated - East Rancho Dominguez,5269,34420.0,34795,1105,7218,7287,15308.0
Unincorporated - East Whittier,1339,25236.0,24882,167,3147,3123,5306.0
Unincorporated - El Camino Village,2441,27767.0,27905,301,3424,3425,8791.0
Unincorporated - El Monte,51,35172.0,43982,10,6897,8958,145.0
Unincorporated - Elizabeth Lake,248,14931.0,16013,18,1084,1464,1661.0
Unincorporated - Florence-Firestone,25885,40005.0,40275,5843,9030,9130,64705.0
Unincorporated - Franklin Canyon,2,16667.0,10310,0,0,0,
Unincorporated - Glendora,181,27424.0,26914,23,3485,3466,660.0
Unincorporated - Hacienda Heights,15047,26905.0,26407,1935,3460,3510,55926.0
Unincorporated - Harbor Gateway,9,900000.0,11846,0,0,0,
Unincorporated - Hawthorne,759,30191.0,29760,104,4137,4091,2514.0
Unincorporated - Hi Vista,120,10929.0,12350,15,1366,1366,1098.0
Unincorporated - Kagel/Lopez Canyons,774,54816.0,60744,70,4958,5533,1412.0
Unincorporated - La Crescenta-Montrose,6613,33397.0,34707,366,1848,1913,19801.0
Unincorporated - La Habra Heights,15,2219.0,2847,1,148,116,676.0
Unincorporated - La Rambla,971,46795.0,44800,93,4482,3689,2075.0
Unincorporated - La Verne,680,33333.0,33757,57,2794,3176,2040.0
Unincorporated - Ladera Heights,2976,42087.0,43492,160,2263,2515,7071.0
Unincorporated - Lake Hughes,197,29491.0,30743,15,2246,2668,668.0
Unincorporated - Lake Los Angeles,2985,22972.0,23282,563,4333,4394,12994.0
Unincorporated - Lake Manor,661,40231.0,41496,47,2861,3169,1643.0
Unincorporated - Lennox,7063,31333.0,31295,1307,5798,5800,22542.0
Unincorporated - Leona Valley,335,19132.0,19929,39,2227,2782,1751.0
Unincorporated - Littlerock,1092,27157.0,27414,191,4750,4733,4021.0
Unincorporated - Littlerock/Juniper Hills,344,26523.0,26511,38,2930,2960,1297.0
Unincorporated - Littlerock/Pearblossom,918,25721.0,26110,181,5071,5220,3569.0
Unincorporated - Llano,137,15621.0,13597,21,2395,2429,877.0
Unincorporated - Marina del Rey,3795,40325.0,34094,131,1392,1171,9411.0
Unincorporated - Monrovia,1201,30946.0,30477,135,3478,3500,3881.0
Unincorporated - Newhall,102,46364.0,44585,39,17727,17673,220.0
Unincorporated - North Lancaster,310,25876.0,24778,49,4090,4018,1198.0
Unincorporated - North Whittier,2843,34007.0,33443,415,4964,4939,8360.0
Unincorporated - Northeast San Gabriel,6680,27792.0,27414,656,2729,2786,24036.0
Unincorporated - Palmdale,170,20190.0,21131,31,3682,4349,842.0
Unincorporated - Palos Verdes Peninsula,153,24638.0,32157,8,1288,2268,621.0
Unincorporated - Pearblossom/Llano,355,18149.0,17925,33,1687,1686,1956.0
Unincorporated - Pellissier Village,314,50727.0,52144,69,11147,10809,619.0
Unincorporated - Placerita Canyon,31,6739.0,7574,0,0,0,
Unincorporated - Pomona,168,8669.0,23141,30,1548,4116,1938.0
Unincorporated - Quartz Hill,3238,25089.0,25068,412,3192,3218,12906.0
Unincorporated - Rancho Dominguez,1143,42954.0,44810,122,4585,4764,2661.0
Unincorporated - Roosevelt,209,22449.0,23462,31,3330,3318,931.0
Unincorporated - Rosewood,500,38880.0,39196,56,4355,4832,1286.0
Unincorporated - Rosewood/East Gardena,435,36463.0,38142,60,5029,5590,1193.0
Unincorporated - Rosewood/West Rancho Dominguez,1182,35168.0,35093,0,0,0,
Unincorporated - Rowland Heights,11684,22900.0,21895,1247,2444,2469,51022.0
Unincorporated - San Jose Hills,6401,31655.0,31126,1375,6800,6692,20221.0
Unincorporated - San Pasqual,442,21720.0,22522,7,344,442,2035.0
Unincorporated - Sand Canyon,92,29870.0,59410,6,1948,5744,308.0
Unincorporated - Santa Catalina Island,919,344195.0,377996,51,19101,19213,267.0
Unincorporated - Santa Monica Mountains,6425,34504.0,39487,186,999,1146,18621.0
Unincorporated - Saugus,495,319355.0,303989,56,36129,34052,155.0
Unincorporated - Saugus/Canyon Country,127,35674.0,56438,15,4213,8276,356.0
Unincorporated - South Antelope Valley,109,23956.0,24488,10,2198,4728,455.0
Unincorporated - South El Monte,707,39387.0,38306,149,8301,7954,1795.0
Unincorporated - South San Gabriel,2986,33748.0,31912,369,4170,4001,8848.0
Unincorporated - South Whittier,19167,32365.0,31705,3542,5981,5841,59222.0
Unincorporated - Southeast Antelope Valley,215,27529.0,28016,30,3841,4096,781.0
Unincorporated - Stevenson Ranch,6237,29748.0,28710,377,1798,1764,20966.0
Unincorporated - Sun Village,1654,27402.0,27496,342,5666,5836,6036.0
Unincorporated - Sunrise Village,457,35262.0,36043,94,7253,7608,1296.0
Unincorporated - Twin Lakes/Oat Mountain,600,36188.0,35553,28,1689,1654,1658.0
Unincorporated - Val Verde,2541,76791.0,74958,1835,55455,53724,3309.0
Unincorporated - Valencia,931,30306.0,33664,70,2279,3317,3072.0
Unincorporated - Valinda,7823,33473.0,32789,1435,6140,5984,23371.0
Unincorporated - View Park/Windsor Hills,4959,42621.0,43936,268,2303,2461,11635.0
Unincorporated - Walnut Park,6271,38847.0,38301,1212,7508,7390,16143.0
Unincorporated - West Antelope Valley,194,12839.0,13446,10,662,752,1511.0
Unincorporated - West Carson,7395,33483.0,32240,631,2857,2785,22086.0
Unincorporated - West LA,909,95483.0,91115,37,3887,3345,952.0
Unincorporated - West Puente Valley,3478,35363.0,34549,684,6955,6802,9835.0
Unincorporated - West Rancho Dominguez,443,32597.0,32103,43,3164,3266,1359.0
Unincorporated - West Whittier/Los Nietos,9840,36546.0,36147,1807,6711,6599,26925.0
Unincorporated - Westfield/Academy Hills,319,24538.0,25978,13,1000,1025,1300.0
Unincorporated - Westhills,323,38498.0,42722,26,3099,3935,839.0
Unincorporated - White Fence Farms,919,24952.0,26036,122,3313,3485,3683.0
Unincorporated - Whittier,1046,27643.0,27036,107,2828,2787,3784.0
Unincorporated - Whittier Narrows,29,241667.0,123099,3,25000,15933,12.0
Unincorporated - Willowbrook,14375,41174.0,41745,2474,7086,7175,34913.0
Unincorporated - Wiseburn,2114,35075.0,34846,207,3435,3286,6027.0
