geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
Unincorporated - South San Gabriel,344,3888,3644,10,113,80,8848
Unincorporated - South Whittier,3236,5464,5329,44,74,80,59222
Unincorporated - Southeast Antelope Valley,25,3201,3296,0,0,0,781
Unincorporated - Stevenson Ranch,349,1665,1629,3,14,18,20966
Unincorporated - Sun Village,311,5152,5348,3,50,61,6036
Unincorporated - Sunrise Village,89,6867,7173,0,0,0,1296
Unincorporated - Twin Lakes/Oat Mountain,26,1568,1520,2,121,126,1658
Unincorporated - Val Verde,127,3838,3680,1,30,50,3309
Unincorporated - Valencia,70,2279,3074,0,0,0,3072
Unincorporated - Valinda,1374,5879,5738,13,56,57,23371
Unincorporated - View Park/Windsor Hills,262,2252,2372,4,34,14,11635
Unincorporated - Walnut Park,1088,6740,6659,17,105,118,16143
Unincorporated - West Antelope Valley,9,596,636,0,0,0,1511
Unincorporated - West Carson,708,3206,2994,54,244,148,22086
Unincorporated - West LA,64,6723,6068,2,210,67,952
Unincorporated - West Puente Valley,644,6548,6422,4,41,38,9835
Unincorporated - West Rancho Dominguez,40,2943,3010,3,221,184,1359
Unincorporated - West Whittier/Los Nietos,1673,6214,6096,22,82,81,26925
Unincorporated - Westfield/Academy Hills,15,1154,1433,0,0,0,1300
Unincorporated - Westhills,23,2741,3137,0,0,0,839
Unincorporated - White Fence Farms,114,3095,3183,0,0,0,3683
Unincorporated - Whittier,106,2801,2794,2,53,44,3784
Unincorporated - Whittier Narrows,5,41667,27680,0,0,0,12
Unincorporated - Willowbrook,2263,6482,6591,28,80,99,34913
Unincorporated - Wiseburn,191,3169,3024,1,17,21,6027
Unincorporated - Franklin Canyon,0,0,0,0,0,0,12
Unincorporated - Harbor Gateway,0,0,0,0,0,0,1
Unincorporated - Placerita Canyon,0,0,0,0,0,0,460
