"place_ID","longitude","latitude","population","cumulative_cases_today","adj_case_rate","cumulative_deaths_today","adj_death_rate","cumulative_persons_tested_today","adj_test_rate","cumulative_persons_pos_today","adj_test_pos_rate","geo_merge"
"Del Rey",-118.424311,33.989764,29936,537,1807,9,23,9775,32222,414,1391,"Los Angeles - Del Rey"
"Downtown",-118.257803,34.044724,27507,1166,4494,18,53,16635,58782,938,3663,"Los Angeles - Downtown"
"Eagle Rock",-118.205209,34.135207,39589,982,2412,28,50,16751,42350,814,1996,"Los Angeles - Eagle Rock"
"East Hollywood",-118.292538,34.09217,29287,909,2935,45,133,9925,31231,719,2306,"Los Angeles - East Hollywood"
"Echo Park",-118.255001,34.082177,14256,390,2727,6,39,7672,50960,345,2462,"Los Angeles - Echo Park"
"El Sereno",-118.177515,34.081112,41808,1803,4248,38,86,15509,36521,1590,3739,"Los Angeles - El Sereno"
"Elysian Park",-118.240334,34.078256,5712,139,2308,0,0,2403,38703,118,1964,"Los Angeles - Elysian Park"
"Elysian Valley",-118.237642,34.092694,10171,363,3476,5,44,4141,39591,328,3144,"Los Angeles - Elysian Valley"
"Encino",-118.501697,34.155925,45172,1035,2450,22,24,16857,38528,804,1924,"Los Angeles - Encino"
"Exposition",-118.349778,34.026624,3326,92,2619,2,62,1148,33006,86,2452,"Los Angeles - Exposition"
"Exposition Park",-118.297919,34.018599,44917,1809,4033,27,83,13077,28449,1603,3598,"Los Angeles - Exposition Park"
"Faircrest Heights",-118.371706,34.038691,3600,53,1353,2,46,1314,35619,35,888,"Los Angeles - Faircrest Heights"
"Figueroa Park Square",-118.286739,33.93256,8721,417,4785,5,59,2795,32179,386,4398,"Los Angeles - Figueroa Park Square"
"Florence Firestone",-118.267376,33.974897,47445,2985,6341,37,107,15682,33645,2762,5850,"Los Angeles - Florence-Firestone"
"Glassell Park",-118.231508,34.118242,31604,981,3055,15,39,12008,37910,865,2695,"Los Angeles - Glassell Park"
"Gramercy Place",-118.309409,33.951267,10764,335,3242,6,44,3463,32237,304,2940,"Los Angeles - Gramercy Place"
"Granada Hills",-118.504152,34.291056,58191,1910,3197,69,86,19041,31919,1579,2629,"Los Angeles - Granada Hills"
"Green Meadows",-118.263144,33.950734,21505,1196,5605,16,108,6744,31864,1115,5185,"Los Angeles - Green Meadows"
"Hancock Park",-118.32887,34.069715,17039,324,1994,4,22,6720,41705,271,1700,"Los Angeles - Hancock Park"
"Harbor City",-118.296386,33.781993,29070,665,2272,12,33,6276,21319,540,1847,"Los Angeles - Harbor City"
"Harbor Gateway",-118.29466,33.866487,43600,1318,2954,18,46,10556,23795,1115,2502,"Los Angeles - Harbor Gateway"
"Harbor Pines",-118.304543,33.78262,2409,38,1663,0,0,505,21020,33,1407,"Los Angeles - Harbor Pines"
"Harvard Heights",-118.304644,34.043582,18035,707,3857,24,154,4989,26994,622,3380,"Los Angeles - Harvard Heights"
"Harvard Park",-118.298016,33.981859,37935,2078,5457,26,72,12790,33636,1945,5097,"Los Angeles - Harvard Park"
"Highland Park",-118.187118,34.112134,48391,1627,3293,23,52,17986,36238,1397,2828,"Los Angeles - Highland Park"
"Historic Filipinotown",-118.271077,34.070245,13870,577,3915,16,104,5439,36614,502,3386,"Los Angeles - Historic Filipinotown"
