date_use,cumulative_persons_tested_all,cumulative_positive_persons_all,percent_positive_persons_cum,persons_tested,positive_persons,percent_positive_persons_date,avg_persons_tested,avg_positive_persons,percent_positive_persons_cum_avg_date
2020-04-06,55918,7732,13.8%,3113,491,15.8%,3771.0,555.0,14.7%
2020-04-05,53272,7308,13.7%,1749,418,23.9%,3903.0,569.0,14.6%
2020-04-04,51793,6924,13.4%,2881,491,17%,3834.0,545.0,14.2%
2020-04-03,49257,6470,13.1%,5191,613,11.8%,3822.0,529.0,13.8%
2020-04-02,44567,5915,13.3%,4650,641,13.8%,3565.0,505.0,14.2%
2020-04-01,40447,5343,13.2%,4586,646,14.1%,3317.0,471.0,14.2%
2020-03-31,36338,4747,13.1%,4228,586,13.9%,3072.0,431.0,14%
2020-03-30,32554,4218,13%,4034,589,14.6%,2842.0,399.0,14%
2020-03-29,28910,3670,12.7%,1268,249,19.6%,2609.0,361.0,13.8%
2020-03-28,27882,3459,12.4%,2796,382,13.7%,2546.0,347.0,13.6%
2020-03-27,25359,3117,12.3%,3391,443,13.1%,2280.0,310.0,13.6%
2020-03-26,22299,2723,12.2%,2919,402,13.8%,2083.0,278.0,13.3%
2020-03-25,19644,2359,12%,2868,369,12.9%,1924.0,250.0,13%
2020-03-24,17044,2023,11.9%,2621,357,13.6%,1755.0,221.0,12.6%
2020-03-23,14648,1701,11.6%,2398,322,13.4%,1638.0,199.0,12.1%
2020-03-22,12455,1408,11.3%,828,153,18.5%,1506.0,179.0,11.9%
2020-03-21,11745,1275,10.9%,933,126,13.5%,1464.0,163.0,11.1%
2020-03-20,10914,1166,10.7%,2011,217,10.8%,1401.0,153.0,10.9%
2020-03-19,9081,968,10.7%,1811,206,11.4%,1232.0,137.0,11.1%
2020-03-18,7371,774,10.5%,1686,169,10%,1072.0,120.0,11.2%
2020-03-17,5781,618,10.7%,1802,199,11%,872.0,99.0,11.4%
2020-03-16,4090,431,10.5%,1472,181,12.3%,635.0,73.0,11.5%
2020-03-15,2716,274,10.1%,536,46,8.6%,,,NA%
2020-03-14,2226,234,10.5%,489,56,11.5%,,,NA%
2020-03-13,1771,186,10.5%,827,101,12.2%,,,NA%
2020-03-12,1016,105,10.3%,694,85,12.2%,,,NA%
2020-03-11,372,33,8.9%,281,24,8.5%,,,NA%
2020-03-10,122,11,9%,144,15,10.4%,,,NA%
