date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
2020-05-29,57386,1490,1145.0,2371,33,36.0
2020-05-28,55896,1264,1071.0,2338,32,37.0
2020-05-27,54632,1385,1025.0,2306,47,37.0
2020-05-26,53247,1683,993.0,2259,40,34.0
2020-05-25,51564,942,889.0,2219,28,35.0
2020-05-24,50622,508,921.0,2191,38,38.0
2020-05-23,50114,743,926.0,2153,34,38.0
2020-05-22,49371,971,928.0,2119,43,40.0
2020-05-21,48400,946,964.0,2076,27,40.0
2020-05-20,47454,1156,1007.0,2049,29,41.0
2020-05-19,46298,957,978.0,2020,47,42.0
2020-05-18,45341,1163,997.0,1973,45,43.0
2020-05-17,44178,548,1000.0,1928,38,40.0
2020-05-16,43630,757,1005.0,1890,52,39.0
2020-05-15,42873,1219,997.0,1838,43,39.0
2020-05-14,41654,1250,966.0,1795,31,40.0
2020-05-13,40404,949,923.0,1764,41,43.0
2020-05-12,39455,1094,930.0,1723,48,44.0
2020-05-11,38361,1181,954.0,1675,28,43.0
2020-05-10,37180,587,918.0,1647,32,45.0
2020-05-09,36593,699,902.0,1615,50,47.0
2020-05-08,35894,999,903.0,1565,50,47.0
2020-05-07,34895,953,892.0,1515,50,45.0
2020-05-06,33942,999,887.0,1465,53,44.0
2020-05-05,32943,1257,886.0,1412,37,42.0
2020-05-04,31686,933,843.0,1375,44,45.0
2020-05-03,30753,474,864.0,1331,44,44.0
2020-05-02,30279,707,883.0,1287,49,43.0
2020-05-01,29572,923,910.0,1238,36,42.0
2020-04-30,28649,918,923.0,1202,45,43.0
2020-04-29,27731,992,931.0,1157,42,44.0
2020-04-28,26739,956,900.0,1115,54,45.0
2020-04-27,25783,1080,888.0,1061,37,43.0
2020-04-26,24703,602,868.0,1024,41,44.0
2020-04-25,24101,899,852.0,983,39,43.0
2020-04-24,23202,1014,811.0,944,44,43.0
2020-04-23,22188,972,785.0,900,51,43.0
2020-04-22,21216,776,755.0,849,47,44.0
2020-04-21,20440,876,765.0,802,40,42.0
2020-04-20,19564,937,735.0,762,47,43.0
2020-04-19,18627,488,698.0,715,36,42.0
2020-04-18,18139,613,690.0,679,38,42.0
2020-04-17,17526,833,671.0,641,39,41.0
2020-04-16,16693,765,635.0,602,58,40.0
2020-04-15,15928,845,607.0,544,35,37.0
2020-04-14,15083,662,573.0,509,47,37.0
2020-04-13,14421,678,579.0,462,42,34.0
2020-04-12,13743,435,559.0,420,37,31.0
2020-04-11,13308,476,581.0,383,30,29.0
2020-04-10,12832,582,598.0,353,30,27.0
2020-04-09,12250,574,627.0,323,35,27.0
